,latitude,longitude,count,point,geometry
0,35.8479463,127.1296175,3051,POINT (127.1296175 35.8479463),POINT (14152004.340503385 4279719.096292625)
1,35.8266871,127.1442865,3028,POINT (127.1442865 35.8266871),POINT (14153637.174794342 4276799.900927738)
2,35.816343,127.102482,2166,POINT (127.102482 35.816343),POINT (14148983.57480122 4275379.789703189)
3,35.8203132,127.1420003,2124,POINT (127.1420003 35.8203132),POINT (14153382.698438387 4275924.8027748605)
4,35.8748639,127.1276191,2017,POINT (127.1276191 35.8748639),POINT (14151781.81284129 4283416.484454379)
5,35.8360463,127.1108096,1924,POINT (127.1108096 35.8360463),POINT (14149910.643520547 4278084.942576615)
6,35.8190505,127.1514895,1694,POINT (127.1514895 35.8190505),POINT (14154439.120406015 4275751.411529183)
7,35.835586,127.1676707,1474,POINT (127.1676707 35.835586),POINT (14156240.381086543 4278021.77853056)
8,35.8200343,127.1398344,1434,POINT (127.1398344 35.8200343),POINT (14153141.580421329 4275886.499958262)
9,35.8728404,127.1261584,1427,POINT (127.1261584 35.8728404),POINT (14151619.175065242 4283138.429285995)
10,35.829917,127.1590143,1407,POINT (127.1590143 35.829917),POINT (14155276.688254744 4277243.380384095)
11,35.8136598,127.147079,1316,POINT (127.147079 35.8136598),POINT (14153948.090132128 4275011.475142723)
12,35.8359607,127.0633423,1314,POINT (127.0633423 35.8359607),POINT (14144626.529931573 4278073.270931825)
13,35.8398216,127.077936,1291,POINT (127.077936 35.8398216),POINT (14146251.126580207 4278603.450849419)
14,35.8160331,127.1070101,1282,POINT (127.1070101 35.8160331),POINT (14149487.629455533 4275337.233154551)
15,35.8591368,127.154056,1244,POINT (127.154056 35.8591368),POINT (14154724.766219392 4281256.111157277)
16,35.818213,127.1064493,1232,POINT (127.1064493 35.818213),POINT (14149425.179221198 4275636.50531136)
17,35.839004,127.0601374,1229,POINT (127.0601374 35.839004),POINT (14144269.750963578 4278491.123605082)
18,35.8468171,127.1299221,1144,POINT (127.1299221 35.8468171),POINT (14152038.181628587 4279564.047148043)
19,35.8210526,127.1043172,1117,POINT (127.1043172 35.8210526),POINT (14149187.846066825 4276026.395126845)
20,35.8171536,127.1196607,1101,POINT (127.1196607 35.8171536),POINT (14150895.932333555 4275491.123911574)
21,35.8146257,127.1076545,1078,POINT (127.1076545 35.8146257),POINT (14149559.319207601 4275144.083423911)
22,35.8625352,127.1476271,1051,POINT (127.1476271 35.8625352),POINT (14154009.093213083 4281722.848453972)
23,35.8369013,127.1351021,1029,POINT (127.1351021 35.8369013),POINT (14152614.816590896 4278202.346287359)
24,35.8162144,127.1114926,1028,POINT (127.1114926 35.8162144),POINT (14149986.674732758 4275362.080667603)
25,35.8172111,127.1064481,1023,POINT (127.1064481 35.8172111),POINT (14149425.067901706 4275498.948923372)
26,35.829538,127.1122362,975,POINT (127.1122362 35.829538),POINT (14150069.385114416 4277191.34269582)
27,35.8356369,127.1142103,963,POINT (127.1142103 35.8356369),POINT (14150289.129789244 4278028.781482834)
28,35.8182301,127.1093681,949,POINT (127.1093681 35.8182301),POINT (14149750.120814823 4275638.839117352)
29,35.8432236,127.0760102,947,POINT (127.0760102 35.8432236),POINT (14146036.72524094 4279070.623771419)
30,35.8175235,127.1355022,920,POINT (127.1355022 35.8175235),POINT (14152659.344387215 4275541.917947933)
31,35.8729707,127.1260089,919,POINT (127.1260089 35.8729707),POINT (14151602.588461112 4283156.425724683)
32,35.8245507,127.1412711,917,POINT (127.1412711 35.8245507),POINT (14153301.546529602 4276506.637740316)
33,35.834737,127.1332957,908,POINT (127.1332957 35.834737),POINT (14152413.773590524 4277905.200633354)
34,35.87097,127.0775114,875,POINT (127.0775114 35.87097),POINT (14146203.815796623 4282881.536802087)
35,35.8336704,127.1341267,862,POINT (127.1341267 35.8336704),POINT (14152506.280087374 4277758.690486814)
36,35.8342941,127.1634892,861,POINT (127.1634892 35.8342941),POINT (14155774.842976045 4277844.371907823)
37,35.843551,127.1133567,853,POINT (127.1133567 35.843551),POINT (14150194.174263597 4279115.529455272)
38,35.81756,127.115216,844,POINT (127.115216 35.81756),POINT (14150401.11719698 4275546.860083028)
39,35.8348469,127.1290565,836,POINT (127.1290565 35.8348469),POINT (14151941.77894956 4277920.304884204)
40,35.8599046,127.1261491,829,POINT (127.1261491 35.8599046),POINT (14151618.173189823 4281361.5991788255)
41,35.8175761,127.1340734,828,POINT (127.1340734 35.8175761),POINT (14152500.26883487 4275549.0565882325)
42,35.8721328,127.1224612,818,POINT (127.1224612 35.8721328),POINT (14151207.626907777 4283041.303981673)
43,35.8247076,127.0965298,788,POINT (127.0965298 35.8247076),POINT (14148321.001192018 4276528.19286504)
44,35.8197968,127.1478818,756,POINT (127.1478818 35.8197968),POINT (14154037.479683233 4275853.963262812)
45,35.8146257,127.1074431,738,POINT (127.1074431 35.8146257),POINT (14149535.830795044 4275144.083423911)
46,35.81474070000001,127.124424,715,POINT (127.124424 35.81474070000001),POINT (14151426.147068208 4275159.870231517)
47,35.8183745,127.1425363,699,POINT (127.1425363 35.8183745),POINT (14153442.365685454 4275658.60784697)
48,35.8311224,127.116161,684,POINT (127.116161 35.8311224),POINT (14150506.314115783 4277408.831677523)
49,35.8133208,127.1480732,664,POINT (127.1480732 35.8133208),POINT (14154058.741705975 4274964.939078639)
50,35.8723309,127.0728216,663,POINT (127.0728216 35.8723309),POINT (14145681.83870429 4283068.504474578)
51,35.8213223,127.1495766,656,POINT (127.1495766 35.8213223),POINT (14154226.166220127 4276063.325554366)
52,35.81907959999999,127.139065,654,POINT (127.139065 35.81907959999999),POINT (14153055.97573291 4275755.5300541045)
53,35.8443295,127.1248575,654,POINT (127.1248575 35.8443295),POINT (14151474.45972721 4279222.507350137)
54,35.8164553,127.1430924,647,POINT (127.1430924 35.8164553),POINT (14153504.259322334 4275395.165013235)
55,35.8248634,127.1022664,641,POINT (127.1022664 35.8248634),POINT (14148959.52979121 4276549.473444016)
56,35.8342609,127.1336394,634,POINT (127.1336394 35.8342609),POINT (14152451.956175866 4277839.840661952)
57,35.8634558,127.1299148,624,POINT (127.1299148 35.8634558),POINT (14152037.40239215 4281849.357212659)
58,35.8183195,127.1076871,616,POINT (127.1076871 35.8183195),POINT (14149562.992750797 4275651.194569161)
59,35.850793,127.1543918,606,POINT (127.1543918 35.850793),POINT (14154762.169568297 4280110.0936184805)
60,35.8396396,127.0761122,602,POINT (127.0761122 35.8396396),POINT (14146048.079829002 4278578.458623965)
61,35.8144455,127.1259597,598,POINT (127.1259597 35.8144455),POINT (14151597.133806065 4275119.3736839965)
62,35.8343672,127.1218516,583,POINT (127.1218516 35.8343672),POINT (14151139.833337884 4277854.39557963)
63,35.8474083,127.0781701,582,POINT (127.0781701 35.8474083),POINT (14146277.175341053 4279645.210773929)
64,35.8202515,127.1433422,574,POINT (127.1433422 35.8202515),POINT (14153532.089195034 4275916.428312421)
65,35.8558348,127.0970708,572,POINT (127.0970708 35.8558348),POINT (14148381.225036537 4280802.579249009)
66,35.81891574894996,127.10829798020924,572,POINT (127.10829798020924 35.81891574894996),POINT (14149631.008959675 4275733.015470209)
67,35.7871649,127.1323489,565,POINT (127.1323489 35.7871649),POINT (14152308.354032744 4271374.98537719)
68,35.8044073,127.1142443,561,POINT (127.1142443 35.8044073),POINT (14150292.914651928 4273741.345247284)
69,35.8182141,127.1065132,553,POINT (127.1065132 35.8182141),POINT (14149432.303668609 4275636.642594051)
70,35.8325874,127.1202841,552,POINT (127.1202841 35.8325874),POINT (14150965.284376323 4277609.985389382)
71,35.8656486,127.127185,548,POINT (127.127185 35.8656486),POINT (14151733.500182286 4282150.594083556)
72,35.8009661,127.1044443,546,POINT (127.1044443 35.8009661),POINT (14149201.983642155 4273269.0478603225)
73,35.8381722,127.1005664,542,POINT (127.1005664 35.8381722),POINT (14148770.28665686 4278376.875077732)
74,35.8168174,127.1115305,529,POINT (127.1115305 35.8168174),POINT (14149990.793553917 4275444.860360122)
75,35.8189844,127.1395295,526,POINT (127.1395295 35.8189844),POINT (14153107.739296129 4275742.350779838)
76,35.8223482,127.1449563,481,POINT (127.1449563 35.8223482),POINT (14153711.758853171 4276204.184021701)
77,35.7938407,127.1335037,476,POINT (127.1335037 35.7938407),POINT (14152436.928044608 4272291.164945708)
78,35.7977441,127.1246996,468,POINT (127.1246996 35.7977441),POINT (14151456.871247666 4272826.828050979)
79,35.8160331,127.1070101,467,POINT (127.1070101 35.8160331),POINT (14149487.629455533 4275337.233154551)
80,35.8142126,127.1083248,466,POINT (127.1083248 35.8142126),POINT (14149634.014585925 4275087.388381626)
81,35.7947669,127.1346007,464,POINT (127.1346007 35.7947669),POINT (14152559.045526009 4272418.250455103)
82,35.8465925,127.0743329,460,POINT (127.0743329 35.8465925),POINT (14145850.042454878 4279533.147449441)
83,35.8362428,127.1328727,452,POINT (127.1328727 35.8362428),POINT (14152366.68544592 4278111.993377907)
84,35.8329676,127.1131423,447,POINT (127.1131423 35.8329676),POINT (14150170.240573075 4277662.299693622)
85,35.8176385,127.1431391,447,POINT (127.1431391 35.8176385),POINT (14153509.491338402 4275557.568050085)
86,35.8170529,127.1038847,446,POINT (127.1038847 35.8170529),POINT (14149139.756046802 4275477.258553586)
87,35.8096786,127.1191425,443,POINT (127.1191425 35.8096786),POINT (14150838.157517835 4274464.997789615)
88,35.84405479999999,127.1241886,436,POINT (127.1241886 35.84405479999999),POINT (14151399.98698787 4279184.742248007)
89,35.8409453,127.1363766,433,POINT (127.1363766 35.8409453),POINT (14152756.748941658 4278757.6623881515)
90,35.8203226,127.1025284,430,POINT (127.1025284 35.8203226),POINT (14148988.695497796 4275926.175638171)
91,35.8180205,127.11159,430,POINT (127.11159 35.8180205),POINT (14149997.472723365 4275610.009784266)
92,35.8500537,127.1623649,426,POINT (127.1623649 35.8500537),POINT (14155649.719868392 4280008.6005154215)
93,35.8320911,127.114985,420,POINT (127.114985 35.8320911),POINT (14150375.402394608 4277541.881054717)
94,35.8333897,127.145212,419,POINT (127.145212 35.8333897),POINT (14153740.256642817 4277720.2439143555)
95,35.8150125,127.1040587,418,POINT (127.1040587 35.8150125),POINT (14149159.1256382 4275197.072277261)
96,35.823425,127.1426706,416,POINT (127.1426706 35.823425),POINT (14153457.393816711 4276352.046184414)
97,35.8236084,127.1374467,416,POINT (127.1374467 35.8236084),POINT (14152875.860796805 4276377.170595318)
98,35.8203226,127.1025284,412,POINT (127.1025284 35.8203226),POINT (14148988.695497796 4275926.175638171)
99,35.8388052,127.1319438,398,POINT (127.1319438 35.8388052),POINT (14152263.269638972 4278463.797225694)
